id,answer_id,comment,date_created,reason,session
1268,17,sin comentario,2022-02-17 17:12:37.254,sin razón,1722098699
1269,48,sin comentario,2022-02-17 17:12:42.059,sin razón,1722098699
1270,3,sin comentario,2022-02-17 17:12:46.321,sin razón,1722098699
1271,21,sin comentario,2022-02-17 17:14:09.773,sin razón,1722098699
1272,97,sin comentario,2022-02-17 17:14:13.503,sin razón,1722098699
1273,56,sin comentario,2022-02-17 17:14:16.888,sin razón,1722098699
1274,93,sin comentario,2022-02-17 17:14:19.977,sin razón,1722098699
1275,2,sin comentario,2022-02-17 17:14:22.611,sin razón,1722098699
1276,1,sin comentario,2022-02-17 17:14:26.255,sin razón,1722098699
1277,96,sin comentario,2022-02-17 17:14:29.166,sin razón,1722098699
1278,11,sin comentario,2022-02-17 17:14:32.145,sin razón,1722098699
1279,85,sin comentario,2022-02-17 17:14:33.384,sin razón,1722098699
1280,78,sin comentario,2022-02-17 17:14:34.769,sin razón,1722098699
1281,61,sin comentario,2022-02-17 17:14:39.541,sin razón,1722098699
1282,31,sin comentario,2022-02-17 17:14:42.898,sin razón,1722098699
1283,89,sin comentario,2022-02-17 17:14:44.366,sin razón,1722098699
1284,71,sin comentario,2022-02-17 17:14:47.088,sin razón,1722098699
1285,105,sin comentario,2022-02-17 17:14:48.911,sin razón,1722098699
1286,81,sin comentario,2022-02-17 17:14:49.689,sin razón,1722098699
1287,100,sin comentario,2022-02-17 17:14:51.331,sin razón,1722098699
1288,63,sin comentario,2022-02-17 17:14:51.427,sin razón,1722098699
1289,108,sin comentario,2022-02-17 17:14:52.713,sin razón,1722098699
1290,27,sin comentario,2022-02-17 17:14:54.411,sin razón,1722098699
1291,36,sin comentario,2022-02-17 17:14:55.118,sin razón,1722098699
1292,110,sin comentario,2022-02-17 17:14:57.344,sin razón,1722098699
1293,51,sin comentario,2022-02-17 17:14:58.392,sin razón,1722098699
1294,16,sin comentario,2022-02-17 17:14:59.496,sin razón,1722098699
1295,23,sin comentario,2022-02-17 17:15:00.549,sin razón,1722098699
1296,8,sin comentario,2022-02-17 17:15:01.484,sin razón,1722098699
1297,86,sin comentario,2022-02-17 17:15:03.742,sin razón,1722098699
1298,45,sin comentario,2022-02-17 17:15:04.839,sin razón,1722098699
1299,82,sin comentario,2022-02-17 17:15:05.352,sin razón,1722098699
1300,42,sin comentario,2022-02-17 17:15:06.031,sin razón,1722098699
1301,13,sin comentario,2022-02-17 17:15:06.146,sin razón,1722098699
1302,60,sin comentario,2022-02-17 17:15:06.678,sin razón,1722098699
1303,19,sin comentario,2022-02-17 17:15:06.975,sin razón,1722098699
1304,62,sin comentario,2022-02-17 17:15:07.880,sin razón,1722098699
1305,35,sin comentario,2022-02-17 17:16:15.091,sin razón,1722477646
1306,85,sin comentario,2022-02-17 17:16:19.658,sin razón,1722477646
1307,52,sin comentario,2022-02-17 17:16:22.170,sin razón,1722477646
1308,109,sin comentario,2022-02-17 17:25:26.155,sin razón,1721495536
1309,112,sin comentario,2022-02-17 17:25:47.360,sin razón,1721513608
1310,57,sin comentario,2022-02-17 17:25:54.184,sin razón,1721495536
1311,76,sin comentario,2022-02-17 17:25:59.216,sin razón,1721513608
1312,71,sin comentario,2022-02-17 17:26:13.276,sin razón,1721513608
1313,2,sin comentario,2022-02-17 17:26:21.507,sin razón,1721495536
1314,108,sin comentario,2022-02-17 17:26:40.707,sin razón,1721495536
1315,112,sin comentario,2022-02-17 17:26:53.937,sin razón,1721495536
1316,32,sin comentario,2022-02-17 17:27:03.201,sin razón,1721495536
1317,18,sin comentario,2022-02-17 17:27:21.851,sin razón,1721495536
1318,95,sin comentario,2022-02-17 17:27:39.172,sin razón,1721495536
1319,6,sin comentario,2022-02-17 17:28:00.597,sin razón,1721495536
1320,10,sin comentario,2022-02-17 17:28:25.883,sin razón,1721495536
1321,8,sin comentario,2022-02-17 17:28:44.355,sin razón,1721495536
1322,43,sin comentario,2022-02-17 17:28:56.179,sin razón,1721495536
1323,107,sin comentario,2022-02-17 17:29:03.176,sin razón,1721495536
1324,94,sin comentario,2022-02-17 17:29:16.641,sin razón,1721495536
1325,40,sin comentario,2022-02-17 17:29:29.698,sin razón,1721495536
1326,97,sin comentario,2022-02-17 17:29:42.941,sin razón,1721495536
1327,17,sin comentario,2022-02-17 17:29:53.020,sin razón,1721495536
1328,77,sin comentario,2022-02-17 17:29:59.989,sin razón,1721495536
1329,103,sin comentario,2022-02-17 17:30:04.066,sin razón,1721495536
1330,85,sin comentario,2022-02-17 17:30:05.889,sin razón,1721495536
1331,24,sin comentario,2022-02-17 17:30:18.936,sin razón,1721495536
1332,70,sin comentario,2022-02-17 17:30:27.007,sin razón,1721495536
1333,91,sin comentario,2022-02-17 17:30:31.428,sin razón,1721495536
1334,75,sin comentario,2022-02-17 17:30:40.792,sin razón,1721495536
1335,59,sin comentario,2022-02-17 17:30:49.767,sin razón,1721495536
1336,105,sin comentario,2022-02-17 17:30:55.296,sin razón,1721495536
1337,98,sin comentario,2022-02-17 17:31:01.205,sin razón,1721495536
1338,90,sin comentario,2022-02-17 17:31:10.059,sin razón,1721495536
1339,79,sin comentario,2022-02-17 17:31:16.400,sin razón,1721495536
1340,65,sin comentario,2022-02-17 17:31:24.968,sin razón,1721495536
1341,82,sin comentario,2022-02-17 17:31:30.086,sin razón,1721495536
1342,87,sin comentario,2022-02-17 17:31:40.578,sin razón,1721495536
1343,63,sin comentario,2022-02-17 17:31:46.083,sin razón,1721495536
1344,25,sin comentario,2022-02-17 17:31:51.719,sin razón,1721495536
1345,5,sin comentario,2022-02-17 17:31:56.714,sin razón,1721495536
1346,111,sin comentario,2022-02-17 17:31:59.148,sin razón,1721495536
1347,44,sin comentario,2022-02-17 17:32:04.359,sin razón,1721495536
1348,72,sin comentario,2022-02-17 17:32:09.118,sin razón,1721495536
1349,71,sin comentario,2022-02-17 17:32:13.902,sin razón,1721495536
1350,102,sin comentario,2022-02-17 17:32:16.533,sin razón,1721495536
1351,37,sin comentario,2022-02-17 17:32:22.184,sin razón,1721495536
1352,28,sin comentario,2022-02-17 17:32:26.537,sin razón,1721495536
1353,101,sin comentario,2022-02-17 17:32:30.399,sin razón,1721495536
1354,69,sin comentario,2022-02-17 17:32:36.517,sin razón,1721495536
1355,110,sin comentario,2022-02-17 17:32:42.377,sin razón,1721495536
1356,106,sin comentario,2022-02-17 17:32:45.626,sin razón,1721495536
1357,68,sin comentario,2022-02-17 17:32:50.404,sin razón,1721495536
1358,60,sin comentario,2022-02-17 17:32:52.600,sin razón,1721495536
1359,92,sin comentario,2022-02-17 17:32:55.974,sin razón,1721495536
1360,83,sin comentario,2022-02-17 17:32:57.665,sin razón,1721495536
1361,104,sin comentario,2022-02-17 17:33:01.259,sin razón,1721495536
1362,30,sin comentario,2022-02-17 17:33:20.093,sin razón,1721495536
1363,11,sin comentario,2022-02-17 17:33:26.191,sin razón,1721495536
1364,89,sin comentario,2022-02-17 17:33:30.822,sin razón,1721495536
1365,78,sin comentario,2022-02-17 17:33:35.639,sin razón,1721495536
1366,76,sin comentario,2022-02-17 17:33:38.594,sin razón,1721495536
1367,77,sin comentario,2022-02-17 17:53:38.543,sin razón,1758455185
1368,97,sin comentario,2022-02-17 17:53:53.838,sin razón,1758455185
1369,45,sin comentario,2022-02-17 17:54:09.567,sin razón,1758455185
1370,57,sin comentario,2022-02-17 17:54:27.672,sin razón,1758455185
1371,59,sin comentario,2022-02-17 17:54:35.409,sin razón,1758455185
1372,36,sin comentario,2022-02-17 17:54:43.380,sin razón,1758455185
1373,33,sin comentario,2022-02-17 17:54:52.563,sin razón,1758455185
1374,17,sin comentario,2022-02-17 17:54:57.680,sin razón,1758455185
1375,109,sin comentario,2022-02-17 17:55:10.261,sin razón,1758455185
1376,91,sin comentario,2022-02-17 17:55:20.237,sin razón,1758455185
1377,18,sin comentario,2022-02-17 17:55:24.701,sin razón,1758455185
1378,63,sin comentario,2022-02-17 17:55:38.167,sin razón,1758455185
1379,8,sin comentario,2022-02-17 17:55:48.906,sin razón,1758455185
1380,65,sin comentario,2022-02-17 17:55:54.453,sin razón,1758455185
1381,69,sin comentario,2022-02-17 17:56:07.999,sin razón,1758455185
1382,40,sin comentario,2022-02-17 17:56:19.330,sin razón,1758455185
1383,67,sin comentario,2022-02-17 17:56:24.185,sin razón,1758455185
1384,19,sin comentario,2022-02-17 17:56:30.675,sin razón,1758455185
1385,34,sin comentario,2022-02-17 17:56:41.301,sin razón,1758455185
